Label,Text
0,Yeah that's the impression I got
1,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 )
0,Or ill be a little closer like at the bus stop on the same street
1,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
1,Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
1,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on
0,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
0,R we going with the  &lt;#&gt;  bus?
1,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
1,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)"
0,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
0,I sent them. Do you like?
0,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
1,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
0,But really quite funny lor wat... Then u shd haf run shorter distance wat...
0,* Am on a train back from northampton so i'm afraid not!
0,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
0,1 in cbe. 2 in chennai.
0,None of that's happening til you get here though
1,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
0,In sch but neva mind u eat 1st lor..
1,Missed call alert. These numbers called but left no message. 07008009200
0,Hi..i got the money da:)
0,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*"
0,aathi..where are you dear..
0,Can you please send me my aunty's number
1,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
1,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
0,"Sir, i am waiting for your call."
1,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
0,"I'm not sure, I was just checking out what was happening around the area"
0,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
0,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
1,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
0,"Garbage bags, eggs, jam, bread, hannaford wheat chex"
0,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
0,"Aight, can you text me the address?"
0,Networking technical support associate.
0,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
1,85233 FREE>Ringtone!Reply REAL
0,I liked your new house
1,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
1,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk."
0,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
1,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
0,Ew are you one of them?
1,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
0,Nice talking to you! please dont forget my pix :) i want to see all of you...
0,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
0,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
0,I think u have the wrong number.
1,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
0,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
0,S.s:)i thinl role is like sachin.just standing. Others have to hit.
0,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
